S100A8,S100A9,S100A7,KRT6A,KRT1,KRT10,KRT14,PI3,KRT16,SPRR2A,SPRR2E,DCD,MIR1977,SPRR2D,SPRR2B,DEFB4A,KRT6B,SPRR2G,KRT6C,KRTDAP,SPRR1B,KRT5,KRT2,RPLP1,CNFN,Class_label
7785.012,5749.422,2879.374,7572.616,12581.972,10444.809,18427.431,756.477,10145.661,602.478,802.491,416.588,4273.82,334.122,377.787,193.394,6622.129,430.4,5478.748,2469.125,2753.54,7882.719,1871.325,1530.646,670.75,Disease
15270.124,15598.68,11603.341,9014.186,6696.315,7122.162,11733.632,3615.202,8005.46,5967.497,6451.194,1137.876,5205.42,4431.014,4508.537,4071.918,5219.412,3803.146,4454.189,3621.392,2646.077,6681.289,758.838,1711.098,1855.181,Disease
21340.964,16817.095,15280.068,7083.596,11511.961,13110.894,11064.457,6396.171,6335.113,6557.06,6766.492,881.142,4259.815,4716.819,4633.072,4521.079,4143.033,5057.76,2836.825,5335.165,2306.854,4884.138,2280.81,1672.82,2144.86,Disease
13495.247,15331.589,12216.389,6112.098,5087.593,4716.914,9358.484,6022.878,4593.411,4870.305,4871.091,1162.837,7121.778,3336.723,3436.484,2011.988,3684.024,2260.874,2649.358,5056.239,2358.265,5759.485,48.153,2468.417,1683.053,Disease
23268.715,15290.702,14140.472,4622.73,14347.22,15914.766,7142.568,4707.998,4128.346,7292.674,7824.357,790.468,6260.493,5045.38,5193.961,4022.728,2133.013,5463.972,1729.259,5330.942,2507.518,4108.958,3308.676,1759.56,2105.324,Disease
18827.039,12855.155,16841.825,2968.482,17194.45,22527.785,4595.385,2337.298,2056.798,7611.193,7709.685,3285.634,2937.813,5159.226,5028.8,2735.763,1075.606,6040.05,830.169,6878.285,3249.94,4246.063,2312.953,1651.321,1373.726,Disease
14269.637,10922.895,10361.713,2788.114,8273.523,8578.637,5574.227,3500.49,1903.401,3090.38,3318.236,1028,5629.763,2205.046,2129.07,615.926,1650.825,1563.578,1230.734,4942.338,1926.708,4952.521,121.304,1473.44,905.984,Disease
14127.117,12691.537,10825.297,3229.745,10829.411,11417.868,6969.135,1523.56,3233.269,2897.251,4030.408,1697.696,4130.615,2075.536,2216.091,249.163,1414.999,2840.171,1309.36,5616.307,2339.298,5201.91,1144.618,2538.72,883.655,Disease
11474.354,7313.07,8836.886,1626.615,14919.158,16317.605,5177.815,2376.829,1423.577,2471.473,2918.709,790.649,8122.745,1679.949,1718.113,771.39,1172.312,1731.505,734.166,3564.714,1222.085,5325.781,1227.104,1223.335,648.358,Disease
15898.082,12625.63,11059.137,7411.104,9668.163,12320.491,9963.78,5175.032,6392.783,4041.369,3717.918,504.146,4585.048,2740.109,2681.049,1973.261,5331.625,2048.557,3975.992,3492.891,1785.706,5450.334,620.175,1560.852,1172.314,Disease
18268.309,16170.7,12604.133,4363.219,10131.216,11068.026,8117.487,8458.282,3226.776,4836.503,4246.048,212.252,3447.364,3122.402,2917.544,2643.514,2694.976,2234.222,1898.935,4777.482,1725.08,6198.423,230.852,1961.017,1056.934,Disease
28870.462,25981.199,17986.24,5636.186,20261.379,19380.952,9999.795,8625.982,6721.887,8596.595,9246.385,94.885,3950.689,5440.26,5654.351,5481.01,3265.875,5085.906,2414.736,8615.329,4154.896,7215.431,1557.579,2163.186,2650.427,Disease
27066.24,19658.352,18317.209,8885.309,11367.467,10753.194,12904.407,5036.987,7435,6644.843,6819.44,452.311,4081.906,4576.751,4336.861,3126.877,4693.052,3820.208,3764.805,6081.785,3919.826,6629.764,1261.692,1779.866,2641.856,Disease
14334.808,15352.819,11028.457,3771.52,10265.137,10491.438,7459.823,3571.189,3889.119,5884.574,6264.099,762.627,3426.578,4038.358,4621.698,669.142,2003.714,3971.815,1633.453,3685.875,1378.759,5338.898,1960.793,2528.785,1932.904,Disease
12872.732,12208.933,9750.507,6400.524,4489.811,5626.554,8735.64,3563.483,5921.332,3907.877,4190.403,460.565,5071.362,2796.116,2907.167,2127.809,3738.823,2469.587,3009.09,2946.298,1633.617,4758.773,603.934,2312.206,1388.109,Disease
15026.039,13954.058,8511.938,4724.855,10109.675,10614.577,12138.857,1800.636,6137.982,3318.133,3438.983,413.902,3433.121,2173.124,2515.871,462.004,2629.32,2424.77,2190.643,2860.662,1479.476,7253.714,3468.531,2732.943,1075.167,Disease
14060.084,9055.36,13466.572,2545.74,13683.482,15066.041,4847.813,2614.2,2039.745,4899.38,5515.672,194.422,7404.323,3473.671,3219.426,2606.61,1179.574,3899.124,912.147,3956.623,1311.695,4312.156,2093.136,1329.156,1030.391,Disease
8699.954,6402.519,6783.21,1211.179,10353.039,12442.831,4093.792,2011.325,1165.01,4032.426,4861.795,331.5,4230.72,2683.036,3167.837,690.811,731.495,3613.653,508.173,3578.995,849.213,3285.108,3105.488,1584.848,607.473,Disease
12561.149,12141.51,8886.969,8227.437,8472.1,8589.18,13308.655,4850.16,7524.174,4720.5,4738.117,118.205,4668.3,3319.656,3436.138,1719.834,5435.283,2380.86,4663.429,2898.383,3024.604,6419.157,1007.865,1609.259,1281.086,Disease
9538.499,10459.817,11115.581,2475.415,11961.044,10705.995,7402.018,1520.469,2954.703,5119.157,5998.469,298.615,6952.155,3728.386,4120.76,733.87,1413.934,4861.123,1134.017,4208.068,1422.795,5877.633,2600.955,2622.284,1261.543,Disease
35651.046,25040.936,16622.748,11014.971,5177.487,6424.305,14816.843,10686.8,12002.023,6736.824,7149.031,221.733,2755.842,5147.272,5118.276,5817.206,6673.037,3467.522,5306.877,4370.112,3246.6,6567.217,500.728,1797.578,1956.711,Disease
13328.248,14444.678,14738.161,3429.628,23846.693,19798.735,9229.069,1991.188,3938.813,5530.119,5858.927,268.684,4836.503,3824.956,4337.707,1830.808,1730.142,5286.991,1395.696,5834.106,2283.207,6571.989,5165.122,2168.411,2560.76,Disease
17490.001,17989.042,13736.702,6186.591,9042.16,10611.469,8387.348,6993.906,4420.62,5525.554,5150.459,184.316,3919.117,3668.15,3348.471,1851.752,3190.829,2095.471,2347.518,5677.931,2539.363,6630.229,227.224,1930.853,1559.751,Disease
16367.784,16750.976,11054.559,7457.017,8390.099,8634.488,10304.294,7516.938,6485.933,6435.663,4443.992,514.079,3067.018,4560.424,4492.404,4178.344,4193.267,3318.321,2932.202,5013.708,2817.743,6365.015,620.861,2106.888,2152.075,Disease
13852.494,14241.908,10963.383,5132.674,10183.495,9964.012,8285.755,5852.922,3842.636,5245.68,5199.066,1834.731,4068.188,3891.632,3652.828,1265.664,2483.701,2951.369,1926.845,5011.277,2296.418,5605.891,1050.719,1979.633,1770.516,Disease
18669.071,16228.641,12125.617,11407.387,2277.419,3583.174,11411.179,7827.886,8547.862,8233.401,8129.702,404.759,2220.14,6021.114,5588.561,4783.765,6339.064,4364.326,5296.683,4682.519,3711.503,5232.546,216.247,1598.135,2633.52,Disease
12883.907,16163.374,9853.671,4512.831,9010.754,6302.976,9356.413,5717.334,4285.963,4415.067,4699.86,212.219,4757.513,3325.327,3605.864,1682.947,2127.937,2363.855,1895.878,3422.824,1951.24,5860.378,86.544,1613.706,1618.659,Disease
18680.563,19530.73,12964.66,10240.13,5187.959,5374.481,16424.165,10772.802,10581.4,6179.392,6458.353,1438.619,4742.798,4564.669,4981.908,2804.205,5189.205,3162.686,4312.341,2797.1,2655.971,6602.668,46.508,1442.886,2032.364,Disease
20165.443,13453.858,16819.168,5244.137,5400.43,6072.742,4911.256,7064.968,4116.401,7472.606,7380.429,1129.608,4742.128,5438.271,4758.003,6569.118,2508.423,3914.213,2080.121,4018.281,2771.701,2841.747,535.779,1140.864,1374.903,Disease
13883.868,13893.206,9921.591,5092.771,15277.534,14320.909,10463.137,4027.017,4550.412,7216.045,7534.225,1144.132,5162.082,5092.269,5710.593,2466.474,2553.67,5309.378,2125.156,3427.993,2240.392,7115.39,3410.146,2221.873,2027.642,Disease
17406.294,18197.593,14461.494,8370.445,17033.84,15723.164,14413.928,5452.913,7653.984,5591.864,6178.559,122.035,5428.051,4090.703,4516.497,2943.587,4491.985,3722.622,3761.2,3768.369,2696.1,7349.393,2058.339,1474.703,1973.455,Disease
11353.781,10705.483,6934.002,8227.931,5328.575,5895.254,16977.657,4015.889,9128.451,3411.474,3671.505,150.121,7978.163,2461.591,2661.606,1958.254,6111.638,2638.087,4716.51,2292.708,2158.449,9044.637,754.294,1302.014,1193.072,Disease
20102.284,19994.402,11656.615,3512.078,3554.111,3616.904,6187.776,5522.669,2478.071,5208.636,4594.882,2448.351,4801.061,3428.185,3403.689,1503.253,1626.42,2381.853,1285.69,4990.988,2174.703,3721.333,258.966,3371.27,1232.57,Disease
11759.173,7216.47,8548.487,5496.832,4168.474,5978.844,6758.856,3840.245,3949.506,3084.477,3248.024,796.225,5521.16,1994.136,1650.611,3649.774,3461.289,1705.916,2618.329,2222.322,1735.92,4012.321,143.235,625.151,619.404,Disease
22016.081,17875.423,14334.667,10952.396,7592.51,8217.504,13385.198,5107.599,9779.805,7216.333,7105.465,725.38,5613.259,5365.339,5182.935,6472.321,6470.76,4110.364,5595.601,3681.738,3671.737,6788.979,643.458,1864.101,1884.182,Disease
7502.016,5714.49,6320.87,2522.904,17689.715,15600.553,11456.496,559.315,3550.527,1971.689,2684.875,880.649,8446.27,1369.802,1515.457,201.451,1627.241,1651.41,1140.701,3418.96,1149.277,9342.128,2038.013,1844.428,938.371,Disease
11160.813,12392.108,11401.207,2049.085,9372.895,7897.847,6281.461,3600.954,1772.593,4212.527,4895.801,2677.031,5321.165,3242.77,3456.367,949.235,1106.868,2907.318,855.572,5725.957,1625.89,4541.128,238.836,3303.408,1072.683,Disease
13825.401,10382.22,11636.991,1922.175,12841.288,12381.505,5118.64,2960.478,1731.373,5049.854,5341.244,859.409,4947.991,3228.043,3784.032,2322.952,1118.948,3466.988,921.414,4155.203,1501.782,4820.818,1415.642,1629.798,1154.24,Disease
19715.569,15335.673,13413.507,7867.737,13215.968,13411.361,12572.407,5050.615,6800.574,6025.657,4153.613,401.452,3065.054,3736.306,4100.46,3016.096,4574.86,3302.31,3885.23,5531.758,3162.745,7597.704,550.964,1910.424,1545.311,Disease
16913.907,17441.83,9780.238,8501.172,8093.079,9435.771,11946.63,3783.767,8613.372,4805.977,4756.619,679.835,6754.111,3747.617,3607.452,2647.845,4957.637,2875.382,4531.028,3880.124,2204.45,7162.277,804.289,2573.76,1502.513,Disease
18629.315,14929.294,12925.419,8981.868,13691.849,15009.872,17917.004,2410.091,10295.081,2959.512,3029.155,548.849,8796.352,1757.239,1661.169,1525.308,6383.721,1827.927,4635.912,4561.042,2356.366,10228.271,1717.842,2113.833,1086.019,Disease
10297.324,11427.935,8251.904,6947.369,11666.27,15029.22,12009.543,1567.803,7273.947,4318.993,5397.476,442.488,4921.288,3254.373,3538.113,1140.169,4421.25,4714.798,3832.665,3563.57,2275.329,7912.77,6603.132,2295.632,2005.917,Disease
10397.833,8032.903,9389.045,1194.263,11331.471,10240.334,5769.577,3037.889,1461.91,3012.724,3353.387,1128.758,6845.271,2204.348,2238.681,960.623,596.137,1734.12,481.865,5035.059,1257.645,4706.975,527.236,2080.34,1038.842,Disease
17147.806,13897.339,9068.549,8171.731,10555.935,12148.366,11497.929,3046.779,7889.653,3689.386,4359.145,1364.549,3561.736,2511.317,2474.492,1571.004,4882.767,3020.282,4090.931,3901.915,1562.432,6653.166,1125.147,1873.765,1457.26,Disease
18229.341,18986.152,14464.988,8869.501,16363.211,14417.892,11213.431,4466.13,7415.906,8558.135,8746.675,316.52,4787.818,6336.719,6311.351,6053.47,4645.822,5160.709,3896.687,4792.537,3981.916,6640.354,1822.628,2053.673,2390.227,Disease
4105.32,4637.296,5772.016,1842.953,24222.731,21669.503,7804.525,353.921,1787.773,2064.719,3651.762,2024.062,5081.058,1584.85,1855.286,619.672,1104.436,3689.98,728.885,5283.524,1664.561,6460.539,4606.382,2513.362,1242.921,Disease
14267.237,12333.096,11661.891,3361.415,12760.198,12345.982,7727.059,3631.327,3602.582,5026.831,5450.96,485.274,3945.425,3266.481,3563.094,1084.157,1793.692,3532.014,1448.508,3950.47,1866.327,5572.989,2665.833,1300.463,1173.836,Disease
15159.231,12105.372,9187.427,8964.651,10902.663,14019.469,10079.151,3844.979,6233.753,5189.909,5108.88,140.65,6450.61,3557.045,3259.128,3277.13,4778.429,2865.266,3600.38,3234.224,2899.13,5950.379,785.099,1392.652,1787.488,Disease
16274.517,14325.686,11773.64,7286.22,3691.553,5649.105,7818.846,8789.843,5434.133,6439.915,6693.134,245.392,8150.282,5243.84,4440.09,5681.954,3915.601,3497.66,2925.748,3348.846,2599.173,4867.937,111.853,1416.654,1758.627,Disease
13551.101,11457.941,8054.254,5357.375,13261.019,13591.673,9821.886,2921.032,5195.227,2721.488,2858.075,731.684,5702.069,1925.834,1915.58,1898.202,3894.437,1452.808,3048.138,3468.99,2139.155,6479.084,1077.802,1376.691,993.598,Disease
16659.043,19352.485,18106.028,6709.036,22534.889,18986.951,12396.687,2962.939,6297.518,7255.356,8184.976,44.547,4678.019,5103.566,5469.498,2681.868,3324.562,5864.399,3249.697,6657.954,2863.453,7680.177,4219.632,2778.827,2741.337,Disease
10688.228,15411.727,12920.784,8668.65,7798.033,6086.317,9701.784,8433.857,5673.818,8288.777,6883.566,533.491,5026.309,6543.834,6407.173,2921.464,4021.185,3509.532,3469.028,6220.621,3854.372,5473.579,68.939,2274.374,2675.156,Disease
12127.049,8487.77,7982.738,1300.318,7032.305,7156.883,4071.471,2310.594,1060.285,1858.783,2024.086,676.766,6195.009,1168.631,1208.763,580.553,700.011,1017.251,521.319,3467.02,978.053,3853.143,224.347,1389.18,381.945,Disease
14888.465,12637.806,8653.425,6372.04,8133.131,7688.642,8796.49,4574.61,4978.756,4522.846,4422.35,662.184,3734.274,3226.294,3437.556,1757.568,3167.454,2358.63,2880.946,3916.55,2727.49,5935.961,277.383,1981.729,1685.028,Disease
16687.16,16512.3,14106.272,5546.499,10771.74,11436.851,9162.48,4942.605,3911.655,5393.261,5835.535,170.759,7348.635,3880.811,3970.355,2070.083,2633.498,3240.69,2209.161,6009.626,2377.23,7663.837,621.135,2399.345,1926.562,Disease
20252.507,16171.68,12081.514,6649.667,9206.708,8609.042,7049.09,5205.065,4750.103,5613.418,5591.651,515.048,6997.096,3894.278,3563.626,4644.583,3576.702,3025.127,2890.559,3861.1,2363.341,4361.301,160.485,1575.094,1451.692,Disease
19206.302,14533.497,15562.139,5385.68,8473.736,9329.318,7133.451,4763.119,3838.89,5526.613,5371.258,1132.163,8394.846,4036.948,3392.48,5845.037,2916.695,2875.939,2014.426,4346.544,2513.415,5484.867,314.401,1328.889,1365.283,Disease
24943.509,19941.516,16588.743,10308.722,8908.08,11205.665,10267.057,4600.201,9052.335,6449,5953.601,828.808,8157.934,4275.56,3978.257,4993.43,5284.167,3641.748,4662.454,3798.618,3397.97,7315.345,877.326,1870.198,1596.882,Disease
23028.449,23395.688,16973.813,11722.824,7024.218,8702.356,12441.173,6349.615,10779.995,8001.218,8099.825,57.812,5820.608,5939.836,5742.608,9434.437,7266.139,4879.428,6537.372,4375.804,3781.262,6827.9,745.727,1571.073,2798.242,Disease
20611.216,17965.527,12791.777,7311.006,12297.8,11509.319,10820.985,5568.066,6870.243,5636.651,5794.889,719.976,5587.47,3997.702,3920.698,3272.553,4135.457,3043.661,3564.825,4180.282,2178.617,5916.698,875.728,1751.635,1778.248,Disease
21975.941,18512.806,11263.296,11287.937,5724.869,5963.332,16266.952,8351.68,10173.494,6406.144,6261.482,232.682,7345.924,4498.847,3982.168,8411.554,7044.744,3205.886,5791.13,3261.296,3332.568,6793.659,43.773,1711.143,1778.855,Disease
21436.204,19418.717,12516.235,11369.832,4366.811,6279.248,11366.883,10999.797,7974.367,6159.028,6083.967,2.735,4949.768,4764.294,4238.432,4238.412,6951.901,2929.131,6324.978,4205.019,3708.622,5690.463,140.861,1419.584,2112.801,Disease
19340.878,15050.52,12225.711,6179.608,10554.609,11991.159,8018.128,5595.836,4695.201,5274.137,5215.768,118.288,4029.109,3513.365,3637.052,2893.781,2891.263,2872.221,2528.828,4266.582,1731.373,5972.232,555.982,1669.423,1151.089,Disease
7200.822,9324.801,12627.729,5267.542,18428.237,13655.968,9101.892,1038.331,3853.576,8755.027,8641.704,331.546,6243.615,6687.834,6713.803,1063.881,2272.432,9008.318,1816.217,3545.035,6273.204,7200.688,1620.186,3514.746,2631.995,Disease
8596.384,12653.969,14819.583,6553.996,11081.213,10023.491,6865.675,7919.679,2976.76,15521.084,13830.119,141.078,4531.83,13506.212,12611.97,2292.374,2661.084,9385.069,2225.177,5346.738,8971.046,6427.068,494.067,2748.538,3449.267,Disease
15409.267,14946.955,11992.821,3226.16,11926.572,10405.255,7741.402,4106.404,2242.796,3704.005,4293.641,5.653,8525.888,2710.538,2920.138,2343.539,1457.907,2127.305,1154.918,7004.89,1504.817,7036.243,553.976,2108.105,1580.579,Disease
14315.92,17467.768,11461.935,11270.98,8742.319,7195.28,13820.544,9347.859,10017.558,7792.012,7801.983,112.501,5162.5,5785.294,5468.036,6573.11,6678.462,4136.717,5421.534,4106.632,3631.975,6528.062,444.272,2262.099,2542.616,Disease
15479.604,20498.516,13044.647,9056.157,13347.08,10208.265,10611.01,6321.854,6885.178,7710.836,7588.472,174.205,3174.091,5506.838,5776.901,2340.616,5170.735,3953.165,4287.248,5159.156,2666.896,6897,1045.067,2042.121,2995.984,Disease
16869.674,15489.334,11707.07,10653.69,6570.09,6451.397,12521.905,4128.461,8854.536,6529.648,6743.049,2458.349,4273.431,4681.046,4484.173,4874.367,5696.777,4401.832,5265.887,3263.897,2609.298,5953.581,826.798,1754.536,2045.287,Disease
